time,car_x,car_y,steering_angle,current_velocity,position_error,cmd_vel_out
0.795,388.477,-227.645,0.0785,0.00,5.08,2.70
0.996,388.478,-227.646,0.0786,0.55,5.07,2.70
1.196,388.479,-227.647,0.0786,0.55,5.07,2.70
1.398,388.482,-227.649,0.0787,0.55,5.07,2.70
1.604,388.484,-227.651,0.0788,1.39,5.07,2.70
1.796,388.486,-227.652,0.0788,1.39,5.06,2.70
1.996,388.489,-227.655,0.0790,1.39,5.06,2.70
2.196,388.494,-227.658,0.0791,1.39,5.05,2.69
2.397,388.499,-227.662,0.0793,1.44,5.05,2.69
2.596,388.505,-227.667,0.0795,1.44,5.04,2.69
2.796,388.512,-227.673,0.0798,1.44,5.03,2.68
2.996,388.518,-227.677,0.0800,1.49,5.02,2.68
3.196,388.528,-227.684,0.0803,1.49,5.01,2.68
3.396,388.535,-227.690,0.0806,1.49,5.00,2.67
3.596,388.543,-227.696,0.0808,1.53,4.99,2.67
3.796,388.553,-227.703,0.0812,1.53,4.98,2.67
3.996,388.563,-227.712,0.0815,1.53,4.97,2.66
4.197,388.578,-227.723,0.0885,1.58,4.96,2.57
4.397,388.588,-227.730,0.0889,1.58,4.95,2.56
4.596,388.601,-227.740,0.0894,1.58,4.94,2.56
4.796,388.620,-227.755,0.0964,1.58,4.93,2.47
4.995,388.647,-227.775,0.0975,1.58,4.89,2.46
5.196,388.664,-227.788,0.0983,1.57,4.87,2.45
5.396,388.664,-227.788,0.0983,1.57,4.87,2.45
5.596,388.699,-227.815,0.0968,1.57,4.82,2.46
5.795,388.710,-227.823,0.0973,1.63,4.81,2.46
5.996,388.730,-227.838,0.0981,1.63,4.78,2.45
6.199,388.750,-227.853,0.0990,1.63,4.76,2.44
6.396,388.770,-227.868,0.1031,1.67,4.74,2.39
6.596,388.797,-227.889,0.1043,1.67,4.71,2.37
6.796,388.811,-227.899,0.1049,1.67,4.69,2.37
6.996,388.836,-227.917,0.1060,1.68,4.66,2.35
7.249,388.860,-227.935,0.1090,1.68,4.64,2.32
7.446,388.895,-227.961,0.1106,1.68,4.59,2.30
7.646,388.913,-227.975,0.1249,1.27,4.61,2.14
7.846,388.948,-228.001,0.1269,1.27,4.56,2.12
8.045,388.967,-228.015,0.1279,1.27,4.54,2.11
8.270,389.010,-228.047,0.1304,1.46,4.49,2.08
8.451,389.033,-228.064,0.1097,1.46,4.42,2.31
8.646,389.062,-228.085,0.1111,1.46,4.38,2.30
8.851,389.093,-228.108,0.1269,1.64,4.40,2.12
9.046,389.141,-228.144,0.1297,1.64,4.34,2.09
9.247,389.179,-228.171,0.1319,1.64,4.29,2.07
9.445,389.211,-228.195,0.1221,1.83,4.25,2.17
9.646,389.242,-228.217,0.1238,1.83,4.21,2.15
9.846,389.287,-228.250,0.1263,1.83,4.16,2.13
10.046,389.338,-228.286,0.1292,2.01,4.10,2.10
10.246,389.418,-228.345,0.1341,2.01,4.00,2.04
